Park ,Plant,Latitude,Longitude,Herbivory,Notes ,HCN,Ac,Li,,,HCN,,
Rouge,78,N 43.82237°,O 079.16635°,0,1169,0,0,1,,,,,
Rouge,79,N 43.82280°,O 079.16590°,16,1170,1,1,1,,,,,
Rouge,80,N 43.82298°,O 079.16536°,0,1171,0,1,0,,,,,
Rouge,81,N 43.82328°,O 079.16521°,0,1172,0,0,0,,,,,
Rouge,82,N 43.82316°,O 079.16564°,0,1173,0,1,0,,,,,
Rouge,83,N 43.82353°,O 079.16605°,15,1174,1,1,1,,,,,
Rouge,84,N 43.82248°,O 079.16677°,4,1175,1,1,1,,,,,
Rouge,85,N 43.82251°,O 079.16728°,33,1176,0,1,0,,,,,
Rouge,86,N 43.82129°,O 079.16821°,2,1177,1,1,1,,,,,
Rouge,87,N 43.81982°,O 079.17036°,75,1178,0,0,0,,,,,
Rouge,88,N 43.80949°,O 079.16549°,0,1275,0,1,0,,,,,
Rouge,89,N 43.80929°,O 079.16514°,0,1276,0,1,0,,,,,
Rouge,90,N 43.80903°,O 079.16479°,0,1277,0,1,0,,,,,
Rouge,91,N 43.80909°,O 079.16445°,4,1278,0,0,0,,,,,
Rouge,92,N 43.80867°,O 079.16419°,0,1279,1,1,1,,,,,
Rouge,93,N 43.80867°,O 079.16452°,50,1280,0,1,0,,,,,
Rouge,94,N 43.80927°,O 079.16428°,0,1281,1,1,1,,,,,
Rouge,95,N 43.80945°,O 079.16389°,3,1282,0,1,0,,,,,
Rouge,96,N 43.80962°,O 079.16443°,22,1283,0,0,0,,,,,
Rouge,97,N 43.80941°,O 079.16619°,2,1179,1,1,1,,,,,
Rouge,98,N 43.80933°,O 079.16643°,2,1180,0,1,0,,,,,
Rouge,99,N 43.80927°,O 079.16666°,0,1181,0,1,0,,,,,
Rouge,100,N 43.80929°,O 079.16685°,7,1182,0,0,1,,,,,
Rouge,101,N 43.80927°,O 079.16710°,0,1183,0,0,0,,,,,
Rouge,102,N 43.80925°,O 079.16735°,0,1184,0,0,0,,,,,
Rouge,103,N 43.80921°,O 079.16759°,2,1185,0,1,0,,,,,
Rouge,104,N 43.80918°,O 079.16786°,0,1186,0,0,1,,,,,
Rouge,105,N 43.80911°,O 079.16807°,10,1187,0,1,0,,,,,
Rouge,106,N 43.80909°,O 079.16833°,2,1188,1,1,1,,,,,
Rouge,107,N 43.80902°,O 079.16859°,0,1189,1,1,1,,,,,
Rouge,108,N 43.80898°,O 079.16882°,3,1190,1,1,1,,,,,
Rouge,109,N 43.80891°,O 079.16905°,4,1191,0,0,0,,,,,
Rouge,110,N 43.80887°,O 079.16930°,3,1192,0,0,0,,,,,
Rouge,111,N 43.80882°,O 079.16954°,1,1193,0,1,0,,,,,
Rouge,112,N 43.80875°,O 079.16978°,2,1194,0,1,0,,,,,
Rouge,113,N 43.80869°,O 079.17001°,0,1195,0,1,0,,,,,
Rouge,114,N 43.80864°,O 079.17024°,0,1196,0,1,0,,,,,
Rouge,115,N 43.80861°,O 079.17049°,0,1197,1,1,1,,,,,
Rouge,116,N 43.80859°,O 079.17076°,0,1198,0,0,0,,,,,
Rouge,117,N 43.80850°,O 079.17110°,2,1199,0,1,0,,,,,
Rouge,118,N 43.80843°,O 079.17135°,0,1200,0,1,0,,,,,
Rouge,119,N 43.80838°,O 079.17165°,0,1201,1,1,1,,,,,
Rouge,120,N 43.80832°,O 079.17190°,3,1202,1,1,1,,,,,
Rouge,121,N 43.80826°,O 079.17215°,0,1203,0,0,1,,,,,
Rouge,122,N 43.80821°,O 079.17242°,0,1204,0,1,0,,,,,
Rouge,123,N 43.80814°,O 079.17266°,0,1205,0,1,0,,,,,
Rouge,124,N 43.80814°,O 079.17294°,0,1206,0,1,0,,,,,
Rouge,125,N 43.80804°,O 079.17312°,0,1207,1,1,1,,,,,
Rouge,126,N 43.80801°,O 079.17336°,0,1208,0,0,0,,,,,
Rouge,127,N 43.80795°,O 079.17359°,0,1209,1,1,1,,,,,
Rouge,128,N 43.80791°,O 079.17383°,0,1210,1,1,1,,,,,
Rouge,129,N 43.80788°,O 079.17410°,2,1211,1,1,1,,,,,
Rouge,130,N 43.80782°,O 079.17432°,0,1212,1,1,1,,,,,
Rouge,131,N 43.80775°,O 079.17455°,4,1213,0,1,0,,,,,
Rouge,132,N 43.80770°,O 079.17476°,0,1214,0,0,0,,,,,
Rouge,133,N 43.80765°,O 079.17505°,0,1215,0,0,0,,,,,
Rouge,134,N 43.80760°,O 079.17525°,0,1216,0,1,0,,,,,
Rouge,135,N 43.80752°,O 079.17549°,0,1217,0,0,0,,,,,
Rouge,136,N 43.80747°,O 079.17572°,0,1218,0,0,0,,,,,
Rouge,137,N 43.80745°,O 079.17596°,0,1219,1,1,1,,,,,
Rouge,138,N 43.80740°,O 079.17619°,4,1220,0,0,1,,,,,
Rouge,139,N 43.80737°,O 079.17648°,0,1221,0,1,0,,,,,
Rouge,140,N 43.80727°,O 079.17671°,6,1222,1,1,1,,,,,
Rouge,141,N 43.80719°,O 079.17693°,0,1223,0,1,0,,,,,
Rouge,142,N 43.80713°,O 079.17717°,4,1224,1,1,1,,,,,
Rouge,143,N 43.80708°,O 079.17748°,0,1225,0,1,0,,,,,
Rouge,144,N 43.80703°,O 079.17773°,4,1226,1,1,1,,,,,
Rouge,145,N 43.80695°,O 079.17882°,0,1227,0,1,0,,,,,
Rouge,146,N 43.80689°,O 079.17825°,0,1228,0,1,0,,,,,
Rouge,147,N 43.80685°,O 079.17850°,0,1229,0,1,0,,,,,
Rouge,148,N 43.80679°,O 079.17890°,0,1230,0,1,0,,,,,
Rouge,149,N 43.80674°,O 079.17909°,6,1231,1,1,1,,,,,
Rouge,150,N 43.80667°,O 079.17928°,0,1232,0,0,0,,,,,
Rouge,151,N 43.80661°,O 079.17953°,0,1233,0,1,0,,,,,
Rouge,152,N 43.80659°,O 079.17977°,10,1234,1,1,1,,,,,
Rouge,153,N 43.80654°,O 079.18007°,8,1235,1,1,1,,,,,
Rouge,154,N 43.80648°,O 079.18034°,0,1236,1,1,1,,,,,
Rouge,155,N 43.80645°,O 079.18061°,2,1237,1,1,1,,,,,
Rouge,156,N 43.80637°,O 079.18084°,0,1238,0,0,0,,,,,
Rouge,157,N 43.80633°,O 079.18108°,4,1239,0,1,0,,,,,
Rouge,158,N 43.80630°,O 079.18132°,0,1240,0,1,0,,,,,
Rouge,159,N 43.80621°,O 079.18157°,0,1241,1,1,1,,,,,
Rouge,160,N 43.80617°,O 079.18182°,6,1242,0,0,1,,,,,
Rouge,161,N 43.80612°,O 079.18206°,17,1243,1,1,1,,,,,
Rouge,162,N 43.80604°,O 079.18227°,0,1244,0,1,0,,,,,
Rouge,163,N 43.80600°,O 079.18250°,0,1245,0,0,0,,,,,
Rouge,164,N 43.80594°,O 079.18273°,0,1246,0,0,0,,,,,
Rouge,165,N 43.80589°,O 079.18297°,0,1247,0,1,0,,,,,
Rouge,166,N 43.80586°,O 079.18322°,0,1248,1,1,1,,,,,
Rouge,167,N 43.80581°,O 079.18346°,4,1249,0,1,0,,,,,
Rouge,168,N 43.80574°,O 079.18371°,0,1250,0,1,0,,,,,
Rouge,169,N 43.80568°,O 079.18397°,2,1251,1,1,1,,,,,
Rouge,170,N 43.80563°,O 079.18423°,0,1252,1,1,1,,,,,
Rouge,171,N 43.80556°,O 079.18452°,0,1253,0,1,0,,,,,
Rouge,172,N 43.80550°,O 079.18472°,0,1254,0,1,0,,,,,
Rouge,173,N 43.80544°,O 079.18497°,6,1255,0,1,0,,,,,
Rouge,174,N 43.80541°,O 079.18524°,0,1256,0,0,0,,,,,
Rouge,175,N 43.80533°,O 079.18546°,0,1257,0,1,0,,,,,
Rouge,176,N 43.80529°,O 079.18571°,0,1258,1,1,1,,,,,
Rouge,177,N 43.80524°,O 079.18597°,0,1259,1,1,1,,,,,
Rouge,178,N 43.80518°,O 079.18620°,0,1260,0,0,1,,,,,
