Park ,Plant,Latitude,Longitude,Herbivory,Notes ,HCN,Ac,Li,,,HCN,,
Riverdale,1,N 43.66714°,O 079.36287°,2,814,0,0,0,,,,,
Riverdale,2,N 43.66707°,O 079.36265°,4,815,1,1,1,,,Park,0.135416667,
Riverdale,3,N 43.66713°,O 079.36239°,0,816,1,1,1,,,Side 1,0.291666667,
Riverdale,4,N 43.66714°,O 079.36204°,0,817,0,1,0,,,Side 2,0.209302326,
Riverdale,5,N 43.66698°,O 079.36175°,0,818,0,0,1,,,,,
Riverdale,6,N 43.66682°,O 079.36156°,2,819,0,1,0,,,,,
Riverdale,7,N 43.66653°,O 079.36083°,4,820,0,0,1,,,,,
Riverdale,8,N 43.66682°,O 079.36073°,1,821,1,1,1,,,,,
Riverdale,9,N 43.66727°,O 079.36053°,16,822,1,1,1,,,,,
Riverdale,10,N 43.66703°,O 079.36108°,0,823,0,1,0,,,,,
Riverdale,11,N 43.66716°,O 079.36150°,10,824,1,1,1,,,,,
Riverdale,12,N 43.66680°,O 079.36171°,1,825,0,0,1,,,,,
Riverdale,13,N 43.66675°,O 079.36223°,0,826,0,0,0,,,,,
Riverdale,14,N 43.66634°,O 079.36228°,0,827,0,0,1,,,,,
Riverdale,15,N 43.66599°,O 079.36247°,0,828,0,0,0,,,,,
Riverdale,16,N 43.66591°,O 079.36207°,0,829,0,0,0,,,Ac,,
Riverdale,17,N 43.66610°,O 079.36144°,2,830,0,0,0,,,,ac,Ac
Riverdale,18,N 43.66637°,O 079.36166°,0,831,0,1,0,,,Park,0.841625412,0.158374588
Riverdale,19,N 43.66615°,O 079.36079°,0,832,0,0,0,,,Side 1,0.669265767,0.330734233
Riverdale,20,N 43.66592°,O 079.36078°,1,833,0,0,0,,,Side 2,0.715281698,0.284718302
Riverdale,21,N 43.66571°,O 079.36071°,4,834,0,1,0,,,,,
Riverdale,22,N 43.66550°,O 079.36049°,1,835,0,0,0,,,,,
Riverdale,23,N 43.66510°,O 079.35987°,1,836,0,1,0,,,,,
Riverdale,24,N 43.66475°,O 079.35951°,1,837,0,0,0,,,,,
Riverdale,25,N 43.66504°,O 079.35892°,0,838,0,1,0,,,,,
Riverdale,26,N 43.66504°,O 079.35831°,0,839,0,0,0,,,,,
Riverdale,27,N 43.66533°,O 079.35801°,0,840,0,0,1,,,,,
Riverdale,28,N 43.66555°,O 079.35843°,1,841,0,0,0,,,,,
Riverdale,29,N 43.66573°,O 079.35902°,0,842,0,0,1,,,,,
Riverdale,30,N 43.66578°,O 079.35966°,0,843,0,0,1,,,,,
Riverdale,31,N 43.66579°,O 079.35992°,1,844,0,1,0,,,Li,,
Riverdale,32,N 43.66587°,O 079.36012°,0,845,0,0,1,,,,li,Li
Riverdale,33,N 43.66591°,O 079.36037°,0,846,0,0,0,,,Park,0.803637563,0.196362437
Riverdale,34,N 43.66618°,O 079.36031°,0,847,0,0,0,,,Side 1,0.763762616,0.236237384
Riverdale,35,N 43.66623°,O 079.35985°,0,848,0,1,0,,,Side 2,0.777593186,0.222406814
Riverdale,36,N 43.66610°,O 079.35908°,1,849,0,0,0,,,,,
Riverdale,37,N 43.66608°,O 079.35878°,2,850,0,0,0,,,,,
Riverdale,38,N 43.66603°,O 079.35830°,0,851,0,0,0,,,,,
Riverdale,39,N 43.66623°,O 079.35779°,2,852,0,0,1,,,,,
Riverdale,40,N 43.66651°,O 079.35792°,0,853,0,0,0,,,,,
Riverdale,41,N 43.66653°,O 079.35836°,0,854,0,1,0,,,,,
Riverdale,42,N 43.66684°,O 079.35831°,3,855,0,0,0,,,,,
Riverdale,43,N 43.66702°,O 079.35796°,0,856,0,1,0,,,,,
Riverdale,44,N 43.66730°,O 079.35809°,0,857,0,1,0,,,,,
Riverdale,45,N 43.66738°,O 079.35827°,0,858,1,1,1,,,,,
