Park ,Plant,Latitude,Longitude,Herbivory,Notes ,HCN,Ac,Li,,,HCN,,
Humber,1,N 43.64922°,W 079.49343°,0,314,1,1,1,,,,,
Humber,2,N 43.64983°,W 079.49274°,6,315,0,1,0,,,Park ,0.270833333,
Humber,3,N 43.64976°,W 079.49207°,2,316,1,1,1,,,Side 1,0.385416667,
Humber,4,N 43.64012°,W 079.49179°,0,317,0,1,0,,,Side 2,0.270833333,
Humber,5,N 43.64908°,W 079.49308°,0,318,0,1,0,,,,,
Humber,6,N 43.64832°,W 079.49416°,2,319,0,1,0,,,,,
Humber,7,N 43.64818°,W 079.49453°,0,320,0,1,0,,,,,
Humber,8,N 43.64779°,W 079.49451°,1,321,1,1,1,,,,,
Humber,9,N 43.64727°,W 079.49471°,4,322,1,1,1,,,,,
Humber,10,N 43.64645°,W 079.49470°,0,323,0,1,0,,,,,
Humber,11,N 43.64654°,W 079.49497°,1,324,1,1,1,,,,,
Humber,12,N 43.64650°,W 079.49563°,8,325,0,0,0,,,,,
Humber,13,N 43.64651°,W 079.49612°,4,326,0,0,1,,,,,
Humber,14,N 43.64627°,W 079.49537°,0,327,0,1,0,,,,,
Humber,15,N 43.64623°,W 079.49481°,0,328,0,0,0,,,,,
Humber,16,N 43.64614°,W 079.49444°,3,329,1,1,1,,,Ac,,
Humber,17,N 43.64598°,W 079.49397°,0,330,1,1,1,,,,ac,Ac
Humber,18,N 43.64550°,W 079.49334°,4,331,0,0,0,,,Park,0.58630197,0.41369803
Humber,19,N 43.64516°,W 079.49284°,5,332,1,1,1,,,Side 1,0.489472505,0.510527495
Humber,20,N 43.64489°,W 079.49260°,1,333,0,1,0,,,Side 2,0.559016994,0.440983006
Humber,21,N 43.64384°,W 079.49262°,0,334,0,1,0,,,,,
Humber,22,N 43.64366°,W 079.49253°,0,335,0,0,0,,,,,
Humber,23,N 43.64350°,W 079.49239°,2,336,0,1,0,,,,,
Humber,24,N 43.64361°,W 079.49206°,0,337,0,0,0,,,,,
Humber,25,N 43.64322°,W 079.49177°,0,338,0,1,0,,,,,
Humber,26,N 43.64292°,W 079.49178°,0,339,0,1,0,,,,,
Humber,27,N 43.64308°,W 079.49206°,0,340,1,1,1,,,,,
Humber,28,N 43.64317°,W 079.49251°,1,341,1,1,1,,,,,
Humber,29,N 43.64284°,W 079.49286°,0,342,0,1,0,,,,,
Humber,30,N 43.64248°,W 079.49286°,0.5,343,0,1,0,,,,,
Humber,31,N 43.64248°,W 079.49255°,0,344,1,1,1,,,Li,,
Humber,32,N 43.64237°,W 079.49212°,0,345,0,1,0,,,,li,Li
Humber,33,N 43.64235°,W 079.49164°,0,346,0,0,0,,,Park,0.77055175,0.22944825
Humber,34,N 43.64238°,W 079.49120°,0,347,0,1,0,,,Side 1,0.714434508,0.285565492
Humber,35,N 43.64246°,W 079.49076°,0,348,0,1,0,,,Side 2,0.79713027,0.20286973
Humber,36,N 43.64200°,W 079.49061°,0,349,0,1,0,,,,,
Humber,37,N 43.64148°,W 079.49049°,0,350,0,1,0,,,,,
Humber,38,N 43.64089°,W 079.49081°,1,351,0,0,1,,,,,
Humber,39,N 43.64108°,W 079.49084°,0,352,0,1,0,,,,,
Humber,40,N 43.64134°,W 079.49094°,0,353,0,1,0,,,,,
Humber,41,N 43.64165°,W 079.49104°,2,354,0,0,0,,,,,
Humber,42,N 43.64212°,W 079.49140°,0,355,0,0,1,,,,,
Humber,43,N 43.64202°,W 079.49171°,0,356,1,1,1,,,,,
