Park ,Plant,Latitude,Longitude,Herbivory,Notes ,HCN,Ac,Li,,,HCN,,
High Park,1,N 43.65322°,O 079.46536°,2,622,0,0,0,,,,,
High Park,2,N 43.65312°,O 079.46653°,1,623,0,0,1,,,Park,0.145833333,
High Park,3,N 43.65283°,O 079.46697°,0,624,0,0,1,,,Side 1,0.28125,
High Park,4,N 43.65278°,O 079.46796°,1,625,0,0,0,,,,,
High Park,5,N 43.65224°,O 079.46774°,0,626,0,0,0,,,,,
High Park,6,N 43.65237°,O 079.46704°,0,627,1,1,1,,,,,
High Park,7,N 43.65274°,O 079.46642°,0,628,0,0,0,,,,,
High Park,8,N 43.65257°,O 079.46551°,1,629,0,0,0,,,,,
High Park,9,N 43.65244°,O 079.46509°,0,630,0,0,1,,,,,
High Park,10,N 43.65281°,O 079.46455°,0,631,0,0,0,,,,,
High Park,11,N 43.65380°,O 079.46362°,0,632,0,0,0,,,,,
High Park,12,N 43.65354°,O 079.46119°,0,633,0,0,0,,,,,
High Park,13,N 43.65357°,O 079.46006°,0,634,0,1,0,,,,,
High Park,14,N 43.65206°,O 079.46417°,2,635,0,0,0,,,,,
High Park,15,N 43.65169°,O 079.46432°,0,636,0,0,0,,,Ac,,
High Park,16,N 43.65147°,O 079.46331°,4,637,0,0,0,,,,ac,Ac
High Park,17,N 43.65106°,O 079.46298°,0,638,0,0,0,,,Park,0.866025404,0.133974596
High Park,18,N 43.65080°,O 079.46347°,0,639,0,0,0,,,Side 1,0.577350269,0.422649731
High Park,19,N 43.65037°,O 079.46289°,0,640,0,1,0,,,,,
High Park,20,N 43.65019°,O 079.46381°,0,641,0,0,0,,,,,
High Park,21,N 43.64981°,O 079.46384°,0,642,0,0,0,,,,,
High Park,22,N 43.64994°,O 079.46471°,2,643,0,0,0,,,,,
High Park,23,N 43.64956°,O 079.46500°,0,644,0,0,1,,,,,
High Park,24,N 43.65014°,O 079.46507°,0,645,0,0,0,,,,,
High Park,25,N 43.65087°,O 079.46545°,0,646,0,0,0,,,,,
High Park,26,N 43.65134°,O 079.46611°,1,647,0,0,0,,,,,
High Park,27,N 43.65179°,O 079.46564°,2,648,0,0,1,,,,,
High Park,28,N 43.65175°,O 079.46666°,33,649,0,0,1,,,,,
High Park,29,N 43.65119°,O 079.46746°,0,650,0,0,0,,,,,
High Park,30,N 43.65045°,O 079.46693°,0,651,0,0,0,,,Li,,
High Park,31,N 43.64989°,O 079.46697°,0,652,0,0,0,,,,li,Li
High Park,32,N 43.64919°,O 079.46674°,0,653,0,0,0,,,Park,0.790569415,0.209430585
High Park,33,N 43.64851°,O 079.46720°,2,654,0,0,0,,,Side 1,0.777281588,0.222718412
High Park,34,N 43.64724°,O 079.46648°,0,655,0,0,0,,,,,
High Park,35,N 43.64640°,O 079.46586°,0,656,0,0,1,,,,,
High Park,36,N 43.64615°,O 079.46507°,2,657,0,0,0,,,,,
High Park,37,N 43.64611°,O 079.46427°,0,658,1,1,1,,,,,
High Park,38,N 43.64565°,O 079.46428°,8,659,0,0,0,,,,,
High Park,39,N 43.64516°,O 079.46329°,4,660,0,0,1,,,,,
High Park,40,N 43.64463°,O 079.46249°,0,661,1,1,1,,,,,
High Park,41,N 43.64458°,O 079.46181°,0,662,0,0,0,,,,,
High Park,42,N 43.64513°,O 079.46255°,0,663,0,1,0,,,,,
High Park,43,N 43.64545°,O 079.46211°,0,664,0,0,0,,,,,
High Park,44,N 43.64534°,O 079.46148°,3,665,1,1,1,,,,,
High Park,45,N 43.64520°,O 079.46037°,0,666,0,0,1,,,Herbivory,,
High Park,46,N 43.64482°,O 079.45898°,0,667,0,0,0,,,,,
High Park,47,N 43.64437°,O 079.45823°,1,668,0,0,0,,,Park,1.421875,
High Park,48,N 43.64477°,O 079.45662°,0,669,1,1,1,,,Side 1,0.864583333,
High Park,49,N 43.64363°,O 079.45840°,0,670,0,1,0,,,,,
High Park,50,N 43.64305°,O 079.45800°,0,671,0,0,1,,,,,
High Park,51,N 43.64244°,O 079.45747°,0,672,0,0,0,,,,,
High Park,52,N 43.64160°,O 079.45641°,0,673,0,0,1,,,,,
High Park,53,N 43.64122°,O 079.45687°,2,674,0,1,0,,,,,
High Park,54,N 43.64108°,O 079.45787°,0,675,0,0,0,,,,,
High Park,55,N 43.64136°,O 079.45866°,0,676,0,0,0,,,,,
High Park,56,N 43.64216°,O 079.45909°,1,677,0,0,1,,,,,
High Park,57,N 43.64278°,O 079.45847°,5,678,0,1,0,,,,,
High Park,58,N 43.64205°,O 079.45827°,0,679,0,0,0,,,,,
High Park,59,N 43.64118°,O 079.45586°,1,680,0,0,0,,,,,
High Park,60,N 43.64008°,O 079.45458°,1,681,0,0,0,,,,,
High Park,61,N 43.63990°,O 079.45679°,0,682,1,1,1,,,,,
High Park,62,N 43.63993°,O 079.45806°,1,683,0,1,0,,,,,
High Park,63,N 43.63985°,O 079.45900°,4,684,1,1,1,,,,,
High Park,64,N 43.64007°,O 079.46042°,0,685,0,1,0,,,,,
High Park,65,N 43.64063°,O 079.46075°,1,686,0,1,0,,,,,
High Park,66,N 43.64097°,O 079.46115°,3,687,0,0,0,,,,,
High Park,67,N 43.64095°,O 079.46196°,0,688,0,0,0,,,,,
High Park,68,N 43.64151°,O 079.46195°,2,689,0,0,1,,,,,
High Park,69,N 43.64204°,O 079.46227°,0,690,0,0,1,,,,,
High Park,70,N 43.64193°,O 079.46297°,0,691,0,0,0,,,,,
High Park,71,N 43.64216°,O 079.46344°,3,692,0,0,1,,,,,
High Park,72,N 43.64209°,O 079.46383°,0,693,1,1,1,,,,,
High Park,73,N 43.64244°,O 079.46382°,0.5,694,0,0,0,,,,,
High Park,74,N 43.64280°,O 079.46391°,0,695,0,0,0,,,,,
High Park,75,N 43.64302°,O 079.46452°,2,696,0,0,0,,,,,
High Park,76,N 43.64342°,O 079.46554°,0,697,1,1,1,,,,,
High Park,77,N 43.64355°,O 079.46626°,0,698,0,0,1,,,,,
High Park,78,N 43.64309°,O 079.46632°,0,699,0,0,1,,,,,
High Park,79,N 43.64215°,O 079.46563°,0,700,1,1,1,,,,,
High Park,80,N 43.64204°,O 079.46513°,0,701,0,0,0,,,,,
High Park,81,N 43.64163°,O 079.46434°,1,702,0,0,0,,,,,
High Park,82,N 43.64160°,O 079.46358°,1,703,1,1,1,,,,,
High Park,83,N 43.64442°,O 079.46526°,0,704,0,0,1,,,,,
High Park,84,N 43.64431°,O 079.46575°,1,705,0,0,0,,,,,
High Park,85,N 43.64455°,O 079.46609°,1,706,1,1,1,,,,,
High Park,86,N 43.64525°,O 079.46648°,2,707,0,0,0,,,,,
High Park,87,N 43.64511°,O 079.46686°,4,708,0,0,1,,,,,
High Park,88,N 43.64378°,O 079.46718°,2,709,1,1,1,,,,,
High Park,89,N 43.64479°,O 079.46764°,0,710,0,0,0,,,,,
High Park,90,N 43.64571°,O 079.46719°,2,711,0,0,1,,,,,
High Park,91,N 43.64634°,O 079.46724°,1,712,0,0,0,,,,,
High Park,92,N 43.64690°,O 079.46745°,4,713,1,1,1,,,,,
High Park,93,N 43.64848°,O 079.46768°,0,714,0,0,0,,,,,
High Park,94,N 43.64865°,O 079.46777°,2,715,0,0,1,,,,,
High Park,95,N 43.65026°,O 079.46790°,20,716,0,1,0,,,,,
High Park,96,N 43.65088°,O 079.46668°,0,717,0,0,1,,,,,
High Park,97,N 43.64392°,O 079.45597°,0,718,0,1,0,,,,,
High Park,98,N 43.64397°,O 079.45563°,0,719,0,0,0,,,,,
High Park,99,N 43.64416°,O 079.45539°,0,720,0,0,0,,,,,
High Park,100,N 43.64422°,O 079.45520°,0,721,0,1,0,,,,,
High Park,101,N 43.64426°,O 079.45494°,2,722,0,0,1,,,,,
High Park,102,N 43.64429°,O 079.45466°,0,723,0,1,0,,,,,
High Park,103,N 43.64431°,O 079.45441°,0,724,0,0,0,,,,,
High Park,104,N 43.64443°,O 079.45408°,0,725,0,0,0,,,,,
High Park,105,N 43.64444°,O 079.45384°,0,726,0,1,0,,,,,
High Park,106,N 43.64454°,O 079.45356°,2,727,0,1,0,,,,,
High Park,107,N 43.64458°,O 079.45336°,0,728,0,1,0,,,,,
High Park,108,N 43.64449°,O 079.45315°,1,729,0,0,0,,,,,
High Park,109,N 43.64454°,O 079.45286°,1,730,0,0,0,,,,,
High Park,110,N 43.64470°,O 079.45275°,0,731,0,1,0,,,,,
High Park,111,N 43.64471°,O 079.45253°,0,732,1,1,1,,,,,
High Park,112,N 43.64477°,O 079.45232°,0,733,1,1,1,,,,,
High Park,113,N 43.64471°,O 079.45201°,0,734,0,1,0,,,,,
High Park,114,N 43.64477°,O 079.45178°,0,735,0,1,0,,,,,
High Park,115,N 43.64476°,O 079.45151°,0,736,1,1,1,,,,,
High Park,116,N 43.64488°,O 079.45132°,0,737,0,0,0,,,,,
High Park,117,N 43.64491°,O 079.45101°,0,738,0,1,0,,,,,
High Park,118,N 43.64495°,O 079.45081°,2,739,1,1,1,,,,,
High Park,119,N 43.64500°,O 079.45055°,1,740,0,1,0,,,,,
High Park,120,N 43.64517°,O 079.45031°,2,741,0,0,1,,,,,
High Park,121,N 43.64526°,O 079.45004°,1,742,1,1,1,,,,,
High Park,122,N 43.64518°,O 079.44979°,0,743,0,0,1,,,,,
High Park,123,N 43.64523°,O 079.44953°,3,744,0,1,0,,,,,
High Park,124,N 43.64525°,O 079.44927°,0,745,1,1,1,,,,,
High Park,125,N 43.64531°,O 079.44894°,0,746,0,0,0,,,,,
High Park,126,N 43.64540°,O 079.44853°,10,747,0,0,1,,,,,
High Park,127,N 43.64563°,O 079.44809°,0,748,1,1,1,,,,,
High Park,128,N 43.64559°,O 079.44781°,0,749,0,0,1,,,,,
High Park,129,N 43.64562°,O 079.44752°,0,750,0,1,0,,,,,
High Park,130,N 43.64577°,O 079.44743°,0,751,1,1,1,,,,,
High Park,131,N 43.64583°,O 079.44724°,1,752,1,1,1,,,,,
High Park,132,N 43.64585°,O 079.44702°,2,753,0,1,0,,,,,
High Park,133,N 43.64589°,O 079.44678°,2,754,1,1,1,,,,,
High Park,134,N 43.64598°,O 079.44659°,0,755,1,1,1,,,,,
High Park,135,N 43.64598°,O 079.44628°,0,756,1,1,1,,,,,
High Park,136,N 43.64603°,O 079.44605°,0,757,1,1,1,,,,,
High Park,137,N 43.64613°,O 079.44575°,3,758,0,1,0,,,,,
High Park,138,N 43.64616°,O 079.44553°,0,759,0,1,0,,,,,
High Park,139,N 43.64621°,O 079.44527°,0,760,0,0,0,,,,,
High Park,140,N 43.64623°,O 079.44504°,0,761,0,0,0,,,,,
High Park,141,N 43.64632°,O 079.44486°,0,762,0,1,0,,,,,
High Park,142,N 43.64621°,O 079.44461°,0,763,0,1,0,,,,,
High Park,143,N 43.64633°,O 079.44444°,0,764,0,0,0,,,,,
High Park,144,N 43.64635°,O 079.44421°,0,765,0,0,1,,,,,
High Park,145,N 43.64652°,O 079.44362°,0,766,0,1,0,,,,,
High Park,146,N 43.64654°,O 079.44344°,10,767,0,1,0,,,,,
High Park,147,N 43.64658°,O 079.44317°,1,768,1,1,1,,,,,
High Park,148,N 43.64663°,O 079.44295°,0,769,0,0,1,,,,,
High Park,149,N 43.64663°,O 079.44270°,2,770,0,0,0,,,,,
High Park,150,N 43.64672°,O 079.44251°,0,771,0,1,0,,,,,
