Week,Location,Lat,Long,Park,Percent_asphalt,Button,minTemp,maxTemp,meanTemp
32,West,43.80656,79.18026,Rouge,35.08,Rouge4W,14,32,21.601866251944013
27,East,43.82006,79.12723,Rouge,18.825,Rouge5E,17,28,23.401656314699792
28,East,43.82006,79.12723,Rouge,18.825,Rouge5E,15,27,20.756944444444443
29,East,43.82006,79.12723,Rouge,18.825,Rouge5E,16,28,22.791666666666668
30,East,43.82006,79.12723,Rouge,18.825,Rouge5E,16,27,21.654761904761905
31,East,43.82006,79.12723,Rouge,18.825,Rouge5E,16,28,21.42063492063492
32,East,43.82006,79.12723,Rouge,18.825,Rouge5E,15,25,20.614243323442135
27,Park,43.81171,79.15018,Rouge,0,Rouge5P,14,29,21.99003984063745
28,Park,43.81171,79.15018,Rouge,0,Rouge5P,12,26,18.5625
29,Park,43.81171,79.15018,Rouge,0,Rouge5P,13,27,21.231150793650794
30,Park,43.81171,79.15018,Rouge,0,Rouge5P,13,25,18.90972222222222
31,Park,43.81171,79.15018,Rouge,0,Rouge5P,12,26,18.702380952380953
32,Park,43.81171,79.15018,Rouge,0,Rouge5P,13,22,18.529230769230768
27,West,43.8044,79.1899,Rouge,12.051,Rouge5W,14,33,23.889112903225808
28,West,43.8044,79.1899,Rouge,12.051,Rouge5W,12,31,21.32043650793651
29,West,43.8044,79.1899,Rouge,12.051,Rouge5W,15,31,23.49702380952381
30,West,43.8044,79.1899,Rouge,12.051,Rouge5W,15,32,21.967261904761905
31,West,43.8044,79.1899,Rouge,12.051,Rouge5W,15,34,21.919642857142858
32,West,43.8044,79.1899,Rouge,12.051,Rouge5W,14,30,21.34890965732087
