Date,Time,Temp,Week,Park,Lat,Long,Percent_asphalt,Location,Button
04/07/19,23:31:01,21,27,Rouge,43.80742,79.17641,5.096,West,Rouge3W
04/07/19,23:41:01,20,27,Rouge,43.80742,79.17641,5.096,West,Rouge3W
04/07/19,23:51:01,20,27,Rouge,43.80742,79.17641,5.096,West,Rouge3W
05/07/19,00:01:01,20,27,Rouge,43.80742,79.17641,5.096,West,Rouge3W
05/07/19,00:11:01,20,27,Rouge,43.80742,79.17641,5.096,West,Rouge3W
05/07/19,00:21:01,20,27,Rouge,43.80742,79.17641,5.096,West,Rouge3W
05/07/19,00:31:01,20,27,Rouge,43.80742,79.17641,5.096,West,Rouge3W
05/07/19,00:41:01,20,27,Rouge,43.80742,79.17641,5.096,West,Rouge3W
05/07/19,00:51:01,20,27,Rouge,43.80742,79.17641,5.096,West,Rouge3W
05/07/19,01:01:01,20,27,Rouge,43.80742,79.17641,5.096,West,Rouge3W
05/07/19,01:11:01,20,27,Rouge,43.80742,79.17641,5.096,West,Rouge3W
05/07/19,01:21:01,20,27,Rouge,43.80742,79.17641,5.096,West,Rouge3W
05/07/19,01:31:01,20,27,Rouge,43.80742,79.17641,5.096,West,Rouge3W
05/07/19,01:41:01,20,27,Rouge,43.80742,79.17641,5.096,West,Rouge3W
05/07/19,01:51:01,20,27,Rouge,43.80742,79.17641,5.096,West,Rouge3W
05/07/19,02:01:01,19,27,Rouge,43.80742,79.17641,5.096,West,Rouge3W
05/07/19,02:11:01,19,27,Rouge,43.80742,79.17641,5.096,West,Rouge3W
05/07/19,02:21:01,19,27,Rouge,43.80742,79.17641,5.096,West,Rouge3W
05/07/19,02:31:01,19,27,Rouge,43.80742,79.17641,5.096,West,Rouge3W
05/07/19,02:41:01,19,27,Rouge,43.80742,79.17641,5.096,West,Rouge3W
05/07/19,02:51:01,19,27,Rouge,43.80742,79.17641,5.096,West,Rouge3W
05/07/19,03:01:01,19,27,Rouge,43.80742,79.17641,5.096,West,Rouge3W
05/07/19,03:11:01,19,27,Rouge,43.80742,79.17641,5.096,West,Rouge3W
05/07/19,03:21:01,19,27,Rouge,43.80742,79.17641,5.096,West,Rouge3W
05/07/19,03:31:01,19,27,Rouge,43.80742,79.17641,5.096,West,Rouge3W
05/07/19,03:41:01,19,27,Rouge,43.80742,79.17641,5.096,West,Rouge3W
05/07/19,03:51:01,19,27,Rouge,43.80742,79.17641,5.096,West,Rouge3W
05/07/19,04:01:01,19,27,Rouge,43.80742,79.17641,5.096,West,Rouge3W
05/07/19,04:11:01,19,27,Rouge,43.80742,79.17641,5.096,West,Rouge3W
05/07/19,04:21:01,19,27,Rouge,43.80742,79.17641,5.096,West,Rouge3W
05/07/19,04:31:01,18,27,Rouge,43.80742,79.17641,5.096,West,Rouge3W
05/07/19,04:41:01,19,27,Rouge,43.80742,79.17641,5.096,West,Rouge3W
05/07/19,04:51:01,18,27,Rouge,43.80742,79.17641,5.096,West,Rouge3W
05/07/19,05:01:01,19,27,Rouge,43.80742,79.17641,5.096,West,Rouge3W
05/07/19,05:11:01,19,27,Rouge,43.80742,79.17641,5.096,West,Rouge3W
05/07/19,05:21:01,18,27,Rouge,43.80742,79.17641,5.096,West,Rouge3W
05/07/19,05:31:01,18,27,Rouge,43.80742,79.17641,5.096,West,Rouge3W
