Date,Time,Temp,Week,Park,Lat,Long,Percent_asphalt,Location,Button
02/06/19,10:37:00,15,22,Erindale,43.5383,79.66197,37.866,West,Erindale3W
02/06/19,11:07:00,16,22,Erindale,43.5383,79.66197,37.866,West,Erindale3W
02/06/19,11:37:00,17,22,Erindale,43.5383,79.66197,37.866,West,Erindale3W
02/06/19,12:07:00,17,22,Erindale,43.5383,79.66197,37.866,West,Erindale3W
02/06/19,12:37:00,24,22,Erindale,43.5383,79.66197,37.866,West,Erindale3W
02/06/19,13:07:00,22,22,Erindale,43.5383,79.66197,37.866,West,Erindale3W
02/06/19,13:37:00,19,22,Erindale,43.5383,79.66197,37.866,West,Erindale3W
02/06/19,14:07:00,18,22,Erindale,43.5383,79.66197,37.866,West,Erindale3W
02/06/19,14:37:00,18,22,Erindale,43.5383,79.66197,37.866,West,Erindale3W
02/06/19,15:07:00,17,22,Erindale,43.5383,79.66197,37.866,West,Erindale3W
02/06/19,15:37:00,16,22,Erindale,43.5383,79.66197,37.866,West,Erindale3W
02/06/19,16:07:00,16,22,Erindale,43.5383,79.66197,37.866,West,Erindale3W
02/06/19,16:37:00,15,22,Erindale,43.5383,79.66197,37.866,West,Erindale3W
02/06/19,17:07:00,15,22,Erindale,43.5383,79.66197,37.866,West,Erindale3W
02/06/19,17:37:00,15,22,Erindale,43.5383,79.66197,37.866,West,Erindale3W
02/06/19,18:07:00,15,22,Erindale,43.5383,79.66197,37.866,West,Erindale3W
02/06/19,18:37:00,14,22,Erindale,43.5383,79.66197,37.866,West,Erindale3W
02/06/19,19:07:00,14,22,Erindale,43.5383,79.66197,37.866,West,Erindale3W
02/06/19,19:37:00,13,22,Erindale,43.5383,79.66197,37.866,West,Erindale3W
02/06/19,20:07:00,13,22,Erindale,43.5383,79.66197,37.866,West,Erindale3W
02/06/19,20:37:00,12,22,Erindale,43.5383,79.66197,37.866,West,Erindale3W
02/06/19,21:07:00,12,22,Erindale,43.5383,79.66197,37.866,West,Erindale3W
02/06/19,21:37:00,11,22,Erindale,43.5383,79.66197,37.866,West,Erindale3W
02/06/19,22:07:00,11,22,Erindale,43.5383,79.66197,37.866,West,Erindale3W
02/06/19,22:37:00,10,22,Erindale,43.5383,79.66197,37.866,West,Erindale3W
02/06/19,23:07:00,10,22,Erindale,43.5383,79.66197,37.866,West,Erindale3W
02/06/19,23:37:00,10,22,Erindale,43.5383,79.66197,37.866,West,Erindale3W
03/06/19,00:07:00,10,23,Erindale,43.5383,79.66197,37.866,West,Erindale3W
