Date,Time,Temp,Week,Park,Lat,Long,Percent_asphalt,Location,Button
03/07/19,12:01:01,24,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,12:11:01,23,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,12:21:01,23,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,12:31:01,23,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,12:41:01,23,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,12:51:01,23,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,13:01:01,23,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,13:11:01,23,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,13:21:01,23,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,13:31:01,24,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,13:41:01,25,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,13:51:01,25,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,14:01:01,26,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,14:11:01,27,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,14:21:01,28,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,14:31:01,28,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,14:41:01,29,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,14:51:01,29,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,15:01:01,29,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,15:11:01,29,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,15:21:01,29,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,15:31:01,29,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,15:41:01,29,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,15:51:01,28,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,16:01:01,28,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,16:11:01,29,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,16:21:01,29,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,16:31:01,29,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,16:41:01,28,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,16:51:01,28,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,17:01:01,28,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,17:11:01,27,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,17:21:01,27,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,17:31:01,26,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,17:41:01,26,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,17:51:01,25,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,18:01:01,25,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,18:11:01,25,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,18:21:01,25,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,18:31:01,24,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,18:41:01,24,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,18:51:01,24,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,19:01:01,24,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,19:11:01,24,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,19:21:01,24,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,19:31:01,23,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,19:41:01,23,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,19:51:01,23,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,20:01:01,23,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
03/07/19,20:11:01,23,27,Riverdale,43.66793,79.35623,14.105,Park,Riverdale3P
