Date,Time,Temp,Year,Month,Day,Week,Park,Lat,Long,Percent_asphalt,Location,Button,Round
03/07/2019,12:56:01,27062,2019,July,03,27,Riverdale,43.67182,79.33663,43.127,East,Riverdale5E,First
03/07/2019,13:06:01,26062,2019,July,03,27,Riverdale,43.67182,79.33663,43.127,East,Riverdale5E,First
03/07/2019,13:16:01,26062,2019,July,03,27,Riverdale,43.67182,79.33663,43.127,East,Riverdale5E,First
03/07/2019,13:26:01,25563,2019,July,03,27,Riverdale,43.67182,79.33663,43.127,East,Riverdale5E,First
03/07/2019,13:36:01,25563,2019,July,03,27,Riverdale,43.67182,79.33663,43.127,East,Riverdale5E,First
03/07/2019,13:46:01,26062,2019,July,03,27,Riverdale,43.67182,79.33663,43.127,East,Riverdale5E,First
03/07/2019,13:56:01,25563,2019,July,03,27,Riverdale,43.67182,79.33663,43.127,East,Riverdale5E,First
03/07/2019,14:06:01,25563,2019,July,03,27,Riverdale,43.67182,79.33663,43.127,East,Riverdale5E,First
03/07/2019,14:16:01,25563,2019,July,03,27,Riverdale,43.67182,79.33663,43.127,East,Riverdale5E,First
03/07/2019,14:26:01,26062,2019,July,03,27,Riverdale,43.67182,79.33663,43.127,East,Riverdale5E,First
03/07/2019,14:36:01,26062,2019,July,03,27,Riverdale,43.67182,79.33663,43.127,East,Riverdale5E,First
03/07/2019,14:46:01,26062,2019,July,03,27,Riverdale,43.67182,79.33663,43.127,East,Riverdale5E,First
03/07/2019,14:56:01,25563,2019,July,03,27,Riverdale,43.67182,79.33663,43.127,East,Riverdale5E,First
03/07/2019,15:06:01,27062,2019,July,03,27,Riverdale,43.67182,79.33663,43.127,East,Riverdale5E,First
03/07/2019,15:16:01,26562,2019,July,03,27,Riverdale,43.67182,79.33663,43.127,East,Riverdale5E,First
03/07/2019,15:26:01,27062,2019,July,03,27,Riverdale,43.67182,79.33663,43.127,East,Riverdale5E,First
03/07/2019,15:36:01,27062,2019,July,03,27,Riverdale,43.67182,79.33663,43.127,East,Riverdale5E,First
03/07/2019,15:46:01,26562,2019,July,03,27,Riverdale,43.67182,79.33663,43.127,East,Riverdale5E,First
03/07/2019,15:56:01,26562,2019,July,03,27,Riverdale,43.67182,79.33663,43.127,East,Riverdale5E,First
03/07/2019,16:06:01,27062,2019,July,03,27,Riverdale,43.67182,79.33663,43.127,East,Riverdale5E,First
03/07/2019,16:16:01,26562,2019,July,03,27,Riverdale,43.67182,79.33663,43.127,East,Riverdale5E,First
03/07/2019,16:26:01,27062,2019,July,03,27,Riverdale,43.67182,79.33663,43.127,East,Riverdale5E,First
03/07/2019,16:36:01,27062,2019,July,03,27,Riverdale,43.67182,79.33663,43.127,East,Riverdale5E,First
03/07/2019,16:46:01,27062,2019,July,03,27,Riverdale,43.67182,79.33663,43.127,East,Riverdale5E,First
03/07/2019,16:56:01,26562,2019,July,03,27,Riverdale,43.67182,79.33663,43.127,East,Riverdale5E,First
03/07/2019,17:06:01,27062,2019,July,03,27,Riverdale,43.67182,79.33663,43.127,East,Riverdale5E,First
03/07/2019,17:16:01,27062,2019,July,03,27,Riverdale,43.67182,79.33663,43.127,East,Riverdale5E,First
03/07/2019,17:26:01,27062,2019,July,03,27,Riverdale,43.67182,79.33663,43.127,East,Riverdale5E,First
03/07/2019,17:36:01,26562,2019,July,03,27,Riverdale,43.67182,79.33663,43.127,East,Riverdale5E,First
03/07/2019,17:46:01,26562,2019,July,03,27,Riverdale,43.67182,79.33663,43.127,East,Riverdale5E,First
03/07/2019,17:56:01,26562,2019,July,03,27,Riverdale,43.67182,79.33663,43.127,East,Riverdale5E,First
03/07/2019,18:06:01,26062,2019,July,03,27,Riverdale,43.67182,79.33663,43.127,East,Riverdale5E,First
03/07/2019,18:16:01,26562,2019,July,03,27,Riverdale,43.67182,79.33663,43.127,East,Riverdale5E,First
03/07/2019,18:26:01,26562,2019,July,03,27,Riverdale,43.67182,79.33663,43.127,East,Riverdale5E,First
