Park ,Plant,Latitude,Longitude,Herbivory,Notes ,HCN,Ac,Li,Vegetation cover m²,Asphalt m²,% Vegetation,% Asphalt,,,HCN,,,,,,,,,Centre park,
Humber,30,N 43.64248°,W 079.49286°,0.5,343,0,1,0,239.41,74.59,76.24522293,23.75477707,,,,,,,,,,,,,
Humber,31,N 43.64248°,W 079.49255°,0,344,1,1,1,314,0,100,0,,,Li,,,,,,,,,,
Humber,32,N 43.64237°,W 079.49212°,0,345,0,1,0,314,0,100,0,,,,li,Li,,,,,,,,
Humber,33,N 43.64235°,W 079.49164°,0,346,0,0,0,314,0,100,0,,,Park,0.77055175,0.22944825,,,,,,,,
Humber,34,N 43.64238°,W 079.49120°,0,347,0,1,0,224.62,89.38,71.53503185,28.46496815,,,Side 1,0.714434508,0.285565492,,,,,,,,
Humber,35,N 43.64246°,W 079.49076°,0,348,0,1,0,281.6,32.4,89.68152866,10.31847134,,,Side 2,0.79713027,0.20286973,,,,,,,,
Humber,36,N 43.64200°,W 079.49061°,0,349,0,1,0,199.83,114.17,63.64012739,36.35987261,,,,,,,,,,,,,
Humber,37,N 43.64148°,W 079.49049°,0,350,0,1,0,314,0,100,0,,,,,,,,,,,,,
Humber,38,N 43.64089°,W 079.49081°,1,351,0,0,1,112.93,201.07,35.96496815,64.03503185,,,,,,,,,,,,,
Humber,39,N 43.64108°,W 079.49084°,0,352,0,1,0,217.51,96.49,69.27070064,30.72929936,,,,,,,,,,,,,
Humber,40,N 43.64134°,W 079.49094°,0,353,0,1,0,309.1,4.9,98.43949045,1.560509554,,,,,,,,,,,,,
Humber,41,N 43.64165°,W 079.49104°,2,354,0,0,0,314,0,100,0,,,,,,,,,,,,,
Humber,42,N 43.64212°,W 079.49140°,0,355,0,0,1,314,0,100,0,,,,,,,,,,,,,
Humber,43,N 43.64202°,W 079.49171°,0,356,1,1,1,314,0,100,0,,,,,,,,,,,,,
Humber,44,N 43.64187°,W 079.49238°,0,357,0,1,0,314,0,100,0,,,,,,,,,,,,,
Humber,45,N 43.64161°,W 079.49252°,8,358,0,1,0,229.41,84.59,73.06050955,26.93949045,,,,,,,,,,,,,
Humber,46,N 43.64133°,W 079.49220°,0,359,0,0,0,209.6,104.4,66.75159236,33.24840764,,,,,,,,,,,,,
Humber,47,N 43.64120°,W 079.49158°,0,360,0,0,1,314,0,100,0,,,Herbivory,,,,,,,,,,
Humber,48,N 43.64151°,W 079.49165°,2,361,0,0,1,314,0,100,0,,,,,,,,,,,,,
Humber,49,N 43.64499°,W 079.49361°,1,362,0,0,0,314,0,100,0,,,Park,1.541666667,,,,,,,,,
Humber,50,N 43.64576°,W 079.49437°,0,363,1,1,1,307.71,6.29,97.99681529,2.003184713,,,Side 1,0.833333333,,,,,,,,,
Humber,51,N 43.64584°,W 079.49464°,0,364,0,0,0,273.51,40.49,87.10509554,12.89490446,,,Side 2,0.552083333,,,,,,,,,
Humber,52,N 43.64579°,W 079.49586°,0,365,0,1,0,217.52,96.48,69.27388535,30.72611465,,,,,,,,,,,,,
Humber,53,N 43.64586°,W 079.49523°,0,366,1,1,1,292.19,21.81,93.05414013,6.945859873,,,,,,,,,,,,,
Humber,54,N 43.64585°,W 079.49564°,0,367,1,1,1,278.49,35.51,88.6910828,11.3089172,,,,,,,,,,,,,
Humber,55,N 43.64591°,W 079.49588°,3,368,0,1,0,305.31,8.69,97.23248408,2.767515924,,,,,,,,,,,,,
Humber,56,N 43.64595°,W 079.49632°,0,369,0,0,0,278.59,35.41,88.72292994,11.27707006,,,,,,,,,,,,,
Humber,57,N 43.64605°,W 079.49654°,0.5,370,0,1,0,268.91,45.09,85.64012739,14.35987261,,,,,,,,,,,,,
Humber,58,N 43.64581°,W 079.49677°,4,371,0,0,0,239.31,74.69,76.2133758,23.7866242,,,,,,,,,,,,,
Humber,59,N 43.64584°,W 079.49725°,0,372,0,1,0,297.32,16.68,94.68789809,5.312101911,,,,,,,,,,,,,
Humber,60,N 43.64571°,W 079.49778°,1,373,0,0,1,219.96,94.04,70.05095541,29.94904459,,,,,,,,,,,,,
Humber,61,N 43.64592°,W 079.49900°,5,374,1,1,1,289.42,24.58,92.17197452,7.828025478,,,,,,,,,,,,,
Humber,62,N 43.64622°,W 079.49974°,2,375,0,0,1,281.16,32.84,89.54140127,10.45859873,,,,,,,,,,,,,
Humber,63,N 43.64717°,W 079.49967°,0,376,0,1,0,293.94,20.06,93.61146497,6.388535032,,,,,,,,,,,,,
Humber,64,N 43.64757°,W 079.49955°,9,377,0,1,0,289.75,24.25,92.27707006,7.722929936,,,,,,,,,,,,,
Humber,65,N 43.64827°,W 079.49890°,0.5,378,0,0,1,282.82,31.18,90.07006369,9.929936306,,,,,,,,,,,,,
Humber,66,N 43.64877°,W 079.49910°,2,379,0,1,0,287.23,26.77,91.47452229,8.525477707,,,,,,,,,,,,,
Humber,67,N 43.64953°,W 079.49947°,4,380,1,1,1,211.27,102.73,67.28343949,32.71656051,,,,,,,,,,,,,
Humber,68,N 43.64911°,W 079.50000°,0,381,0,0,1,264.76,49.24,84.31847134,15.68152866,,,,,,,,,,,,,
Humber,69,N 43.64919°,W 079.50063°,0,382,1,1,1,273.07,40.93,86.96496815,13.03503185,,,,,,,,,,,,,
Humber,70,N 43.64947°,W 079.50140°,0,383,0,0,1,244,70,77.70700637,22.29299363,,,,,,,,,,,,,
Humber,71,N 43.64915°,W 079.50189°,0,384,0,0,1,246.83,67.17,78.60828025,21.39171975,,,,,,,,,,,,,
Humber,72,N 43.64891°,W 079.50256°,4,385,1,1,1,203.18,110.82,64.70700637,35.29299363,,,,,,,,,,,,,
Humber,73,N 43.64821°,W 079.50391°,4,386,0,0,0,298.32,15.68,95.00636943,4.993630573,,,,,,,,,,,,,
Humber,74,N 43.64728°,W 079.50449°,0,387,1,1,1,299.49,14.51,95.37898089,4.621019108,,,,,,,,,,,,,
Humber,75,N 43.64701°,W 079.50365°,2,388,0,0,1,297.09,16.91,94.61464968,5.385350318,,,,,,,,,,,,,
Humber,76,N 43.64637°,W 079.50417°,0,389,0,0,0,255.06,58.94,81.22929936,18.77070064,,,,,,,,,,,,,
Humber,77,N 43.64550°,W 079.50365°,0,390,1,1,1,293.95,20.05,93.61464968,6.385350318,,,,,,,,,,,,,
Humber,78,N 43.64505°,W 079.50349°,0,391,0,0,0,274.59,39.41,87.44904459,12.55095541,,,,,,,,,,,,,
Humber,79,N 43.64420°,W 079.50331°,14,392,0,1,0,293.66,20.34,93.52229299,6.477707006,,,,,,,,,,,,,
Humber,80,N 43.64355°,W 079.50314°,16,393,0,1,0,262.16,51.84,83.49044586,16.50955414,,,,,,,,,,,,,
Humber,81,N 43.64394°,W 079.50217°,0,394,0,0,0,209.05,104.95,66.57643312,33.42356688,,,,,,,,,,,,,
Humber,82,N 43.64419°,W 079.50053°,0,395,0,1,0,198.92,115.08,63.35031847,36.64968153,,,,,,,,,,,,,
Humber,83,N 43.64446°,W 079.49979°,0,396,0,1,0,243.94,70.06,77.68789809,22.31210191,,,,,,,,,,,,,
Humber,84,N 43.64452°,W 079.49854°,0,397,0,1,0,294.31,19.69,93.72929936,6.270700637,,,,,,,,,,,,,
Humber,85,N 43.64491°,W 079.49764°,2,398,0,1,0,244.15,69.85,77.75477707,22.24522293,,,,,,,,,,,,,
Humber,86,N 43.64519°,W 079.49890°,4,399,0,1,0,231.99,82.01,73.88216561,26.11783439,,,,,,,,,,,,,
Humber,87,N 43.64531°,W 079.50040°,1,400,0,0,0,282.04,31.96,89.82165605,10.17834395,,,,,,,,,,,,,
Humber,88,N 43.64494°,W 079.50038°,2,401,0,0,0,218.08,95.92,69.4522293,30.5477707,,,,,,,,,,,,,
