Park ,Plant,Latitude,Longitude,Herbivory,Notes ,HCN,Ac,Li,Vegetation cover m²,Asphalt m²,% Vegetation,% Asphalt,,,HCN,,,,,,,,,Centre park,
Riverdale,1,N 43.66714°,O 079.36287°,2,814,0,0,0,128.43,185.57,40.90127389,59.09872611,,,,,,,,,,,,N 43.400669,O 079.212624
Riverdale,2,N 43.66707°,O 079.36265°,4,815,1,1,1,262.88,51.12,83.71974522,16.28025478,,,Park,0.135416667,,,,,,,,,
Riverdale,3,N 43.66713°,O 079.36239°,0,816,1,1,1,249.96,64.04,79.60509554,20.39490446,,,Side 1,0.291666667,,,,,,,,,
Riverdale,4,N 43.66714°,O 079.36204°,0,817,0,1,0,288.44,25.56,91.85987261,8.140127389,,,Side 2,0.209302326,,,,,,,,,
Riverdale,5,N 43.66698°,O 079.36175°,0,818,0,0,1,151,163,48.08917197,51.91082803,,,,,,,,,,,,,
Riverdale,6,N 43.66682°,O 079.36156°,2,819,0,1,0,244.89,69.11,77.99044586,22.00955414,,,,,,,,,,,,,
Riverdale,7,N 43.66653°,O 079.36083°,4,820,0,0,1,182.31,131.69,58.06050955,41.93949045,,,,,,,,,,,,,
Riverdale,8,N 43.66682°,O 079.36073°,1,821,1,1,1,228.21,85.79,72.67834395,27.32165605,,,,,,,,,,,,,
Riverdale,9,N 43.66727°,O 079.36053°,16,822,1,1,1,247.62,66.38,78.85987261,21.14012739,,,,,,,,,,,,,
Riverdale,10,N 43.66703°,O 079.36108°,0,823,0,1,0,188.08,125.92,59.89808917,40.10191083,,,,,,,,,,,,,
Riverdale,11,N 43.66716°,O 079.36150°,10,824,1,1,1,157.25,156.75,50.07961783,49.92038217,,,,,,,,,,,,,
Riverdale,12,N 43.66680°,O 079.36171°,1,825,0,0,1,264.83,49.17,84.34076433,15.65923567,,,,,,,,,,,,,
Riverdale,13,N 43.66675°,O 079.36223°,0,826,0,0,0,314,0,100,0,,,,,,,,,,,,,
Riverdale,14,N 43.66634°,O 079.36228°,0,827,0,0,1,314,0,100,0,,,,,,,,,,,,,
Riverdale,15,N 43.66599°,O 079.36247°,0,828,0,0,0,278.11,35.89,88.57006369,11.42993631,,,,,,,,,,,,,
Riverdale,16,N 43.66591°,O 079.36207°,0,829,0,0,0,185.93,128.07,59.2133758,40.7866242,,,Ac,,,,,,,,,,
Riverdale,17,N 43.66610°,O 079.36144°,2,830,0,0,0,304.67,9.33,97.02866242,2.97133758,,,,ac,Ac,,,,,,,,
Riverdale,18,N 43.66637°,O 079.36166°,0,831,0,1,0,115.09,198.91,36.65286624,63.34713376,,,Park,0.841625412,0.158374588,,,,,,,,
Riverdale,19,N 43.66615°,O 079.36079°,0,832,0,0,0,252.85,61.15,80.52547771,19.47452229,,,Side 1,0.669265767,0.330734233,,,,,,,,
Riverdale,20,N 43.66592°,O 079.36078°,1,833,0,0,0,133.35,180.65,42.46815287,57.53184713,,,Side 2,0.715281698,0.284718302,,,,,,,,
Riverdale,21,N 43.66571°,O 079.36071°,4,834,0,1,0,203.06,110.94,64.66878981,35.33121019,,,,,,,,,,,,,
Riverdale,22,N 43.66550°,O 079.36049°,1,835,0,0,0,309.8,4.2,98.66242038,1.337579618,,,,,,,,,,,,,
Riverdale,23,N 43.66510°,O 079.35987°,1,836,0,1,0,248.04,65.96,78.99363057,21.00636943,,,,,,,,,,,,,
Riverdale,24,N 43.66475°,O 079.35951°,1,837,0,0,0,269.82,44.18,85.92993631,14.07006369,,,,,,,,,,,,,
Riverdale,25,N 43.66504°,O 079.35892°,0,838,0,1,0,314,0,100,0,,,,,,,,,,,,,
Riverdale,26,N 43.66504°,O 079.35831°,0,839,0,0,0,159.41,154.59,50.76751592,49.23248408,,,,,,,,,,,,,
Riverdale,27,N 43.66533°,O 079.35801°,0,840,0,0,1,293.37,20.63,93.42993631,6.570063694,,,,,,,,,,,,,
Riverdale,28,N 43.66555°,O 079.35843°,1,841,0,0,0,314,0,100,0,,,,,,,,,,,,,
Riverdale,29,N 43.66573°,O 079.35902°,0,842,0,0,1,314,0,100,0,,,,,,,,,,,,,
Riverdale,30,N 43.66578°,O 079.35966°,0,843,0,0,1,314,0,100,0,,,,,,,,,,,,,
Riverdale,31,N 43.66579°,O 079.35992°,1,844,0,1,0,314,0,100,0,,,Li,,,,,,,,,,
Riverdale,32,N 43.66587°,O 079.36012°,0,845,0,0,1,314,0,100,0,,,,li,Li,,,,,,,,
Riverdale,33,N 43.66591°,O 079.36037°,0,846,0,0,0,314,0,100,0,,,Park,0.803637563,0.196362437,,,,,,,,
Riverdale,34,N 43.66618°,O 079.36031°,0,847,0,0,0,271.83,42.17,86.57006369,13.42993631,,,Side 1,0.763762616,0.236237384,,,,,,,,
