Round,Park,r.squared,response,predictor,estimate,std.error,statistic,p.value
First,Riverdale,0.008,meanTemp,Percent_asphalt,0.004,0.006,0.737,0.464
Second,Riverdale,0.005,meanTemp,Percent_asphalt,0.012,0.023,0.536,0.594
Third,Riverdale,0.031,meanTemp,Percent_asphalt,0.018,0.012,1.46,0.149
First,Riverdale,0.006,meanTemp,HabitatTransect,0.199,0.319,0.623,0.536
Second,Riverdale,0.001,meanTemp,HabitatTransect,0.263,1.241,0.212,0.833
Third,Riverdale,0.038,meanTemp,HabitatTransect,0.84,0.519,1.618,0.11
First,Riverdale,0.196,minTemp,Percent_asphalt,0.019,0.005,3.949,0
Second,Riverdale,0.001,minTemp,Percent_asphalt,0.004,0.018,0.202,0.841
Third,Riverdale,0.071,minTemp,Percent_asphalt,-0.031,0.014,-2.238,0.029
First,Riverdale,0.279,minTemp,HabitatTransect,1.267,0.255,4.976,0
Second,Riverdale,0.003,minTemp,HabitatTransect,-0.439,0.965,-0.455,0.651
Third,Riverdale,0.005,minTemp,HabitatTransect,-0.365,0.615,-0.595,0.554
First,Rouge,0.105,maxTemp,Percent_asphalt,0.063,0.021,3.038,0.003
Second,Rouge,0.02,maxTemp,Percent_asphalt,-0.042,0.034,-1.254,0.213
Third,Rouge,0.094,maxTemp,Percent_asphalt,-0.138,0.047,-2.94,0.004
First,Rouge,0.066,maxTemp,HabitatTransect,2.074,0.877,2.364,0.021
Second,Rouge,0.015,maxTemp,HabitatTransect,-1.81,1.638,-1.105,0.272
Third,Rouge,0.177,maxTemp,HabitatTransect,-6.49,1.538,-4.221,0
First,Rouge,0.224,meanTemp,Percent_asphalt,0.041,0.009,4.779,0
Second,Rouge,0.001,meanTemp,Percent_asphalt,0.004,0.022,0.203,0.84
Third,Rouge,0.016,meanTemp,Percent_asphalt,-0.014,0.012,-1.17,0.245
First,Rouge,0.168,meanTemp,HabitatTransect,1.476,0.37,3.995,0
Second,Rouge,0.003,meanTemp,HabitatTransect,0.492,1.067,0.461,0.646
Third,Rouge,0,meanTemp,HabitatTransect,-0.055,0.401,-0.138,0.89
First,Rouge,0.228,minTemp,Percent_asphalt,0.035,0.007,4.831,0
Second,Rouge,0.005,minTemp,Percent_asphalt,0.011,0.017,0.651,0.517
Third,Rouge,0.001,minTemp,Percent_asphalt,0.005,0.02,0.265,0.791
First,Rouge,0.149,minTemp,HabitatTransect,1.176,0.316,3.725,0
Second,Rouge,0.008,minTemp,HabitatTransect,0.674,0.837,0.805,0.423
Third,Rouge,0.076,minTemp,HabitatTransect,1.696,0.65,2.608,0.011
